case_id,crime_id,crime_type,crime_category,ipc_sections,bns_sections,severity,incident_date,incident_time,reported_date,state,district,police_station,case_status,description,synthetic_flag
CASE-000142,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-07-25,22:31,2023-07-26,Telangana,District-33,PS-08,Closed,Synthetic investigation scenario,true
CASE-000143,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-04-11,22:54,2023-04-12,Rajasthan,District-30,PS-23,Open,Synthetic investigation scenario,true
CASE-000144,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-05-28,09:00,2023-05-29,Telangana,District-38,PS-05,Open,Synthetic investigation scenario,true
CASE-000145,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-06-01,19:28,2023-06-03,Tamil Nadu,District-37,PS-13,Open,Synthetic investigation scenario,true
CASE-000146,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-05-13,02:34,2023-05-15,Maharashtra,District-17,PS-05,Closed,Synthetic investigation scenario,true
CASE-000147,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-01-11,14:39,2023-01-11,Karnataka,District-31,PS-11,Under Investigation,Synthetic investigation scenario,true
CASE-000148,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-05-04,20:23,2023-05-06,Delhi,District-13,PS-02,Under Investigation,Synthetic investigation scenario,true
CASE-000149,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-02-26,23:57,2023-02-28,Uttar Pradesh,District-14,PS-05,Open,Synthetic investigation scenario,true
CASE-000150,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-01-14,03:37,2023-01-14,Karnataka,District-32,PS-03,Under Investigation,Synthetic investigation scenario,true
CASE-000151,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-05-23,13:08,2023-05-24,Gujarat,District-39,PS-16,Open,Synthetic investigation scenario,true
CASE-000152,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-04-02,18:04,2023-04-04,Karnataka,District-20,PS-19,Under Investigation,Synthetic investigation scenario,true
CASE-000153,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-04-11,18:04,2023-04-13,Telangana,District-19,PS-25,Under Investigation,Synthetic investigation scenario,true
CASE-000154,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-05-04,16:27,2023-05-05,Kerala,District-12,PS-19,Under Investigation,Synthetic investigation scenario,true
CASE-000155,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-06-12,01:26,2023-06-13,Maharashtra,District-25,PS-07,Closed,Synthetic investigation scenario,true
CASE-000156,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-08-18,16:28,2023-08-18,Delhi,District-38,PS-23,Open,Synthetic investigation scenario,true
CASE-000157,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-09-23,23:36,2023-09-24,Gujarat,District-39,PS-20,Under Investigation,Synthetic investigation scenario,true
CASE-000158,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-07-28,04:19,2023-07-29,Gujarat,District-03,PS-01,Closed,Synthetic investigation scenario,true
CASE-000159,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-07-23,18:47,2023-07-24,Kerala,District-33,PS-20,Closed,Synthetic investigation scenario,true
CASE-000160,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-04-06,05:13,2023-04-08,Delhi,District-02,PS-05,Closed,Synthetic investigation scenario,true
CASE-000161,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-07-21,00:57,2023-07-22,Gujarat,District-12,PS-13,Open,Synthetic investigation scenario,true
CASE-000162,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-08-29,23:53,2023-08-30,West Bengal,District-02,PS-02,Closed,Synthetic investigation scenario,true
CASE-000163,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-02-20,03:56,2023-02-21,Telangana,District-30,PS-10,Closed,Synthetic investigation scenario,true
CASE-000164,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-10-26,00:47,2023-10-27,Kerala,District-19,PS-25,Closed,Synthetic investigation scenario,true
CASE-000165,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-08-10,11:05,2023-08-11,Tamil Nadu,District-26,PS-04,Open,Synthetic investigation scenario,true
CASE-000166,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-12-04,01:15,2023-12-05,Gujarat,District-03,PS-01,Under Investigation,Synthetic investigation scenario,true
CASE-000167,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-01-21,04:25,2023-01-22,Maharashtra,District-23,PS-17,Charge-sheeted,Synthetic investigation scenario,true
CASE-000168,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-09-15,19:33,2023-09-17,Uttar Pradesh,District-13,PS-12,Open,Synthetic investigation scenario,true
CASE-000169,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-11-22,06:08,2023-11-23,Telangana,District-18,PS-06,Closed,Synthetic investigation scenario,true
CASE-000170,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-11-23,12:55,2023-11-24,West Bengal,District-24,PS-12,Closed,Synthetic investigation scenario,true
CASE-000171,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-01-30,01:16,2023-01-30,Gujarat,District-27,PS-21,Under Investigation,Synthetic investigation scenario,true
CASE-000172,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-02-02,04:58,2023-02-02,Maharashtra,District-29,PS-11,Open,Synthetic investigation scenario,true
CASE-000173,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-06-15,14:20,2023-06-17,West Bengal,District-11,PS-17,Closed,Synthetic investigation scenario,true
CASE-000174,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-04-10,15:00,2023-04-11,Rajasthan,District-39,PS-24,Charge-sheeted,Synthetic investigation scenario,true
CASE-000175,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-06-11,21:12,2023-06-12,Kerala,District-12,PS-17,Closed,Synthetic investigation scenario,true
CASE-000176,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-02-17,15:42,2023-02-19,Delhi,District-17,PS-10,Closed,Synthetic investigation scenario,true
CASE-000177,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-02-26,13:49,2023-02-26,Kerala,District-27,PS-11,Open,Synthetic investigation scenario,true
CASE-000178,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-01-11,21:05,2023-01-12,Uttar Pradesh,District-06,PS-21,Under Investigation,Synthetic investigation scenario,true
CASE-000179,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-07-01,12:20,2023-07-02,West Bengal,District-35,PS-21,Charge-sheeted,Synthetic investigation scenario,true
CASE-000180,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-02-01,15:41,2023-02-02,Rajasthan,District-15,PS-10,Open,Synthetic investigation scenario,true
CASE-000181,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-02-16,07:45,2023-02-17,Delhi,District-34,PS-07,Open,Synthetic investigation scenario,true
CASE-000182,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-02-22,10:27,2023-02-24,Karnataka,District-02,PS-15,Open,Synthetic investigation scenario,true
CASE-000183,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-12-17,10:48,2023-12-19,Gujarat,District-29,PS-04,Charge-sheeted,Synthetic investigation scenario,true
CASE-000184,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-01-24,19:36,2023-01-25,Delhi,District-23,PS-02,Open,Synthetic investigation scenario,true
CASE-000185,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-12-12,06:23,2023-12-12,Karnataka,District-19,PS-22,Under Investigation,Synthetic investigation scenario,true
CASE-000186,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-02-04,16:52,2023-02-06,Tamil Nadu,District-15,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000187,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-10-17,22:07,2023-10-19,Delhi,District-27,PS-22,Open,Synthetic investigation scenario,true
CASE-000188,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-02-27,19:18,2023-02-28,Kerala,District-12,PS-21,Under Investigation,Synthetic investigation scenario,true
CASE-000189,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-03-23,18:11,2023-03-24,Delhi,District-11,PS-22,Under Investigation,Synthetic investigation scenario,true
CASE-000190,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-01-24,18:51,2023-01-25,Karnataka,District-01,PS-11,Charge-sheeted,Synthetic investigation scenario,true
CASE-000191,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-12-13,08:04,2023-12-14,West Bengal,District-34,PS-21,Charge-sheeted,Synthetic investigation scenario,true
CASE-000192,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-12-27,06:00,2023-12-28,Tamil Nadu,District-02,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000193,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-12-24,15:10,2023-12-25,Tamil Nadu,District-24,PS-05,Charge-sheeted,Synthetic investigation scenario,true
CASE-000194,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-07-05,03:16,2023-07-06,Tamil Nadu,District-22,PS-07,Under Investigation,Synthetic investigation scenario,true
CASE-000195,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-02-02,15:08,2023-02-03,Gujarat,District-29,PS-06,Under Investigation,Synthetic investigation scenario,true
CASE-000196,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-06-11,03:57,2023-06-12,Delhi,District-06,PS-17,Under Investigation,Synthetic investigation scenario,true
CASE-000197,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-05-06,15:32,2023-05-07,Rajasthan,District-37,PS-15,Charge-sheeted,Synthetic investigation scenario,true
CASE-000198,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-05-02,23:37,2023-05-03,Rajasthan,District-39,PS-23,Under Investigation,Synthetic investigation scenario,true
CASE-000199,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-09-15,16:46,2023-09-17,Tamil Nadu,District-35,PS-15,Open,Synthetic investigation scenario,true
CASE-000200,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-10-12,09:44,2023-10-13,Delhi,District-33,PS-23,Closed,Synthetic investigation scenario,true
CASE-000201,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-10-14,06:08,2023-10-14,Gujarat,District-23,PS-15,Closed,Synthetic investigation scenario,true
CASE-000202,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-07-24,20:16,2023-07-26,Tamil Nadu,District-33,PS-22,Closed,Synthetic investigation scenario,true
CASE-000203,THEFT,THEFT,Property Crime,,,MEDIUM,2023-01-11,06:46,2023-01-12,West Bengal,District-10,PS-05,Open,Synthetic investigation scenario,true
CASE-000204,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-12-07,22:02,2023-12-08,Delhi,District-25,PS-04,Charge-sheeted,Synthetic investigation scenario,true
CASE-000205,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-09-03,22:27,2023-09-04,Rajasthan,District-04,PS-17,Charge-sheeted,Synthetic investigation scenario,true
CASE-000206,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-07-18,08:23,2023-07-19,Rajasthan,District-39,PS-03,Charge-sheeted,Synthetic investigation scenario,true
CASE-000207,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-12-06,02:17,2023-12-07,Karnataka,District-20,PS-03,Under Investigation,Synthetic investigation scenario,true
CASE-000208,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-11-11,10:47,2023-11-13,Tamil Nadu,District-10,PS-19,Closed,Synthetic investigation scenario,true
CASE-000209,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-06-27,17:57,2023-06-28,Rajasthan,District-04,PS-05,Under Investigation,Synthetic investigation scenario,true
CASE-000210,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-07-05,07:56,2023-07-06,Tamil Nadu,District-22,PS-20,Charge-sheeted,Synthetic investigation scenario,true
CASE-000211,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-01-17,08:06,2023-01-17,Rajasthan,District-07,PS-10,Open,Synthetic investigation scenario,true
CASE-000212,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-12-10,04:19,2023-12-10,Rajasthan,District-36,PS-23,Open,Synthetic investigation scenario,true
CASE-000213,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-08-10,04:05,2023-08-11,Maharashtra,District-40,PS-13,Open,Synthetic investigation scenario,true
CASE-000214,ATTEMPTED_RAPE,ATTEMPTED_RAPE,Sexual Crime,,,CRITICAL,2023-11-06,13:12,2023-11-06,Uttar Pradesh,District-05,PS-10,Open,Synthetic investigation scenario,true
CASE-000215,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-08-31,04:02,2023-09-02,Telangana,District-01,PS-23,Under Investigation,Synthetic investigation scenario,true
CASE-000216,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-04-28,21:37,2023-04-29,Gujarat,District-17,PS-13,Closed,Synthetic investigation scenario,true
CASE-000217,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-11-17,14:50,2023-11-19,Tamil Nadu,District-30,PS-07,Open,Synthetic investigation scenario,true
CASE-000218,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-08-21,16:02,2023-08-23,Kerala,District-19,PS-15,Charge-sheeted,Synthetic investigation scenario,true
CASE-000219,THEFT,THEFT,Property Crime,,,MEDIUM,2023-03-11,16:13,2023-03-12,West Bengal,District-33,PS-14,Closed,Synthetic investigation scenario,true
CASE-000220,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-09-18,17:15,2023-09-19,Uttar Pradesh,District-15,PS-23,Charge-sheeted,Synthetic investigation scenario,true
CASE-000221,THEFT,THEFT,Property Crime,,,MEDIUM,2023-10-16,01:53,2023-10-17,Maharashtra,District-19,PS-13,Closed,Synthetic investigation scenario,true
CASE-000222,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-07-01,06:29,2023-07-03,Gujarat,District-28,PS-15,Open,Synthetic investigation scenario,true
CASE-000223,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-04-22,14:05,2023-04-22,Tamil Nadu,District-10,PS-05,Closed,Synthetic investigation scenario,true
CASE-000224,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-10-05,16:44,2023-10-07,West Bengal,District-04,PS-14,Under Investigation,Synthetic investigation scenario,true
CASE-000225,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-08-30,10:47,2023-08-30,Rajasthan,District-08,PS-21,Closed,Synthetic investigation scenario,true
CASE-000226,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-03-02,23:00,2023-03-04,Maharashtra,District-11,PS-18,Open,Synthetic investigation scenario,true
CASE-000227,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-11-16,01:55,2023-11-16,Rajasthan,District-40,PS-25,Charge-sheeted,Synthetic investigation scenario,true
CASE-000228,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-07-20,04:50,2023-07-20,Maharashtra,District-11,PS-20,Open,Synthetic investigation scenario,true
CASE-000229,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-06-04,14:15,2023-06-04,Uttar Pradesh,District-35,PS-15,Open,Synthetic investigation scenario,true
CASE-000230,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-08-12,23:54,2023-08-13,Gujarat,District-14,PS-06,Closed,Synthetic investigation scenario,true
CASE-000231,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-09-01,04:23,2023-09-02,Rajasthan,District-33,PS-01,Open,Synthetic investigation scenario,true
CASE-000232,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-11-23,12:52,2023-11-24,West Bengal,District-37,PS-11,Under Investigation,Synthetic investigation scenario,true
CASE-000233,CYBERCRIME,CYBERCRIME,Cybercrime,,,HIGH,2023-08-27,13:54,2023-08-27,West Bengal,District-09,PS-24,Charge-sheeted,Synthetic investigation scenario,true
CASE-000234,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-07-06,13:07,2023-07-07,Uttar Pradesh,District-38,PS-20,Charge-sheeted,Synthetic investigation scenario,true
CASE-000235,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-10-07,08:00,2023-10-08,Gujarat,District-29,PS-10,Charge-sheeted,Synthetic investigation scenario,true
CASE-000236,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-03-10,15:09,2023-03-11,West Bengal,District-16,PS-03,Under Investigation,Synthetic investigation scenario,true
CASE-000237,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-05-15,20:09,2023-05-17,Rajasthan,District-14,PS-11,Under Investigation,Synthetic investigation scenario,true
CASE-000238,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-04-05,18:13,2023-04-07,West Bengal,District-16,PS-16,Charge-sheeted,Synthetic investigation scenario,true
CASE-000239,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-12-07,06:23,2023-12-08,Kerala,District-14,PS-10,Charge-sheeted,Synthetic investigation scenario,true
CASE-000240,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-04-06,19:58,2023-04-07,Karnataka,District-13,PS-02,Closed,Synthetic investigation scenario,true
CASE-000241,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-05-30,12:37,2023-06-01,West Bengal,District-20,PS-09,Under Investigation,Synthetic investigation scenario,true
CASE-000242,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-02-24,08:29,2023-02-26,West Bengal,District-29,PS-19,Charge-sheeted,Synthetic investigation scenario,true
CASE-000243,THEFT,THEFT,Property Crime,,,MEDIUM,2023-10-24,15:59,2023-10-26,Kerala,District-39,PS-10,Closed,Synthetic investigation scenario,true
CASE-000244,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-02-01,19:03,2023-02-03,Tamil Nadu,District-10,PS-15,Open,Synthetic investigation scenario,true
CASE-000245,MURDER,MURDER,Violent Crime,,,CRITICAL,2023-05-15,00:45,2023-05-16,Gujarat,District-23,PS-25,Charge-sheeted,Synthetic investigation scenario,true
CASE-000246,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-11-07,18:01,2023-11-08,Rajasthan,District-17,PS-05,Under Investigation,Synthetic investigation scenario,true
CASE-000247,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-07-08,19:36,2023-07-10,Maharashtra,District-40,PS-14,Charge-sheeted,Synthetic investigation scenario,true
CASE-000248,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-10-18,06:37,2023-10-19,Telangana,District-30,PS-11,Charge-sheeted,Synthetic investigation scenario,true
CASE-000249,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-03-10,12:11,2023-03-11,Uttar Pradesh,District-36,PS-16,Open,Synthetic investigation scenario,true
CASE-000250,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-11-13,08:27,2023-11-14,Karnataka,District-34,PS-16,Open,Synthetic investigation scenario,true
CASE-000251,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-01-08,21:04,2023-01-10,Kerala,District-28,PS-23,Closed,Synthetic investigation scenario,true
CASE-000252,NARCOTICS_NDPS,NARCOTICS_NDPS,Narcotics,,,HIGH,2023-06-29,18:43,2023-07-01,Delhi,District-02,PS-19,Open,Synthetic investigation scenario,true
CASE-000253,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-09-12,18:12,2023-09-13,Telangana,District-07,PS-15,Under Investigation,Synthetic investigation scenario,true
CASE-000254,CULPABLE_HOMICIDE,CULPABLE_HOMICIDE,Violent Crime,,,CRITICAL,2023-02-26,00:25,2023-02-27,Kerala,District-12,PS-21,Open,Synthetic investigation scenario,true
CASE-000255,FINANCIAL_FRAUD,FINANCIAL_FRAUD,Financial Crime,,,HIGH,2023-07-10,07:18,2023-07-11,Uttar Pradesh,District-39,PS-20,Under Investigation,Synthetic investigation scenario,true
CASE-000256,DACOITY,DACOITY,Property/Violent Crime,,,CRITICAL,2023-11-19,22:17,2023-11-20,Kerala,District-17,PS-12,Under Investigation,Synthetic investigation scenario,true
CASE-000257,EXTORTION,EXTORTION,Organized/Financial Crime,,,HIGH,2023-09-04,07:50,2023-09-04,Kerala,District-08,PS-21,Closed,Synthetic investigation scenario,true
CASE-000258,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-05-22,00:27,2023-05-23,Karnataka,District-35,PS-09,Under Investigation,Synthetic investigation scenario,true
CASE-000259,ROBBERY,ROBBERY,Property/Violent Crime,,,HIGH,2023-01-25,02:51,2023-01-25,West Bengal,District-31,PS-13,Open,Synthetic investigation scenario,true
CASE-000260,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-04-08,18:41,2023-04-09,Tamil Nadu,District-01,PS-09,Closed,Synthetic investigation scenario,true
CASE-000261,THEFT,THEFT,Property Crime,,,MEDIUM,2023-08-17,09:08,2023-08-19,Gujarat,District-40,PS-07,Closed,Synthetic investigation scenario,true
CASE-000262,ATTEMPTED_MURDER,ATTEMPTED_MURDER,Violent Crime,,,CRITICAL,2023-02-24,21:31,2023-02-26,Maharashtra,District-25,PS-03,Charge-sheeted,Synthetic investigation scenario,true
CASE-000263,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-05-11,09:44,2023-05-12,Gujarat,District-15,PS-19,Charge-sheeted,Synthetic investigation scenario,true
CASE-000264,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-08-11,06:36,2023-08-12,Tamil Nadu,District-23,PS-07,Open,Synthetic investigation scenario,true
CASE-000265,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-03-30,00:33,2023-03-30,Karnataka,District-38,PS-15,Closed,Synthetic investigation scenario,true
CASE-000266,HUMAN_TRAFFICKING,HUMAN_TRAFFICKING,Trafficking,,,CRITICAL,2023-05-13,03:19,2023-05-14,Telangana,District-15,PS-23,Open,Synthetic investigation scenario,true
CASE-000267,KIDNAPPING,KIDNAPPING,Kidnapping/Abduction,,,CRITICAL,2023-07-24,04:00,2023-07-24,West Bengal,District-07,PS-14,Open,Synthetic investigation scenario,true
CASE-000268,CRUELTY_BY_HUSBAND_OR_RELATIVES,CRUELTY_BY_HUSBAND_OR_RELATIVES,Crime Against Women,,,HIGH,2023-03-08,06:16,2023-03-08,Maharashtra,District-32,PS-15,Open,Synthetic investigation scenario,true
CASE-000269,OTHER_SPECIAL_LOCAL_LAWS,OTHER_SPECIAL_LOCAL_LAWS,Special/Local Law,,,MEDIUM,2023-03-31,05:22,2023-04-02,Uttar Pradesh,District-06,PS-10,Charge-sheeted,Synthetic investigation scenario,true
CASE-000270,THEFT,THEFT,Property Crime,,,MEDIUM,2023-08-30,08:49,2023-08-31,Maharashtra,District-17,PS-07,Charge-sheeted,Synthetic investigation scenario,true
CASE-000271,FORGERY,FORGERY,Financial Crime,,,MEDIUM,2023-10-24,10:46,2023-10-25,Delhi,District-19,PS-23,Closed,Synthetic investigation scenario,true
CASE-000272,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-12-22,07:51,2023-12-23,Uttar Pradesh,District-06,PS-18,Charge-sheeted,Synthetic investigation scenario,true
CASE-000273,BURGLARY,BURGLARY,Property Crime,,,MEDIUM,2023-06-11,12:58,2023-06-12,Karnataka,District-10,PS-12,Open,Synthetic investigation scenario,true
CASE-000274,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-09-24,12:19,2023-09-25,Karnataka,District-37,PS-01,Charge-sheeted,Synthetic investigation scenario,true
CASE-000275,NARCOTICS_TRAFFICKING,NARCOTICS_TRAFFICKING,Narcotics,,,CRITICAL,2023-02-06,10:44,2023-02-06,Tamil Nadu,District-08,PS-18,Under Investigation,Synthetic investigation scenario,true
CASE-000276,RAPE,RAPE,Sexual Crime,,,CRITICAL,2023-04-12,23:43,2023-04-13,Gujarat,District-28,PS-15,Charge-sheeted,Synthetic investigation scenario,true
CASE-000277,CHILD_RELATED_CRIME,CHILD_RELATED_CRIME,Crime Against Children,,,CRITICAL,2023-08-13,18:11,2023-08-14,Uttar Pradesh,District-19,PS-18,Under Investigation,Synthetic investigation scenario,true
CASE-000278,KIDNAPPING_FOR_RANSOM,KIDNAPPING_FOR_RANSOM,Kidnapping/Abduction,,,CRITICAL,2023-10-10,17:02,2023-10-12,Gujarat,District-02,PS-17,Under Investigation,Synthetic investigation scenario,true
CASE-000279,ASSAULT,ASSAULT,Violent Crime,,,HIGH,2023-05-30,16:11,2023-05-31,Karnataka,District-21,PS-12,Open,Synthetic investigation scenario,true
CASE-000280,VEHICLE_THEFT,VEHICLE_THEFT,Property Crime,,,MEDIUM,2023-02-26,12:17,2023-02-27,Delhi,District-10,PS-05,Open,Synthetic investigation scenario,true
