case_id,case_number,title,case_type,status,description,created_date,incident_date,location_id,priority
C0140,CASE-2024-0140,Online Fraud Investigation - Mumbai Sector,Online Fraud,Pending Review,"record of a online fraud case based in Mumbai, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-04-18,2024-04-15,L0520,High
C0141,CASE-2024-0141,Investigation into Financial Fraud Activities in Hyderabad,Financial Fraud,Pending Review,"investigation into suspected financial fraud activity centered around Hyderabad, Telangana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-08-31,2024-08-26,L0426,High
C0142,CASE-2024-0142,Payment Fraud Case Linked to Mumbai Region,Payment Fraud,Closed,"This case tracks a suspected payment fraud matter reported in Mumbai, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-09-12,2024-09-08,L0073,Medium
C0143,CASE-2024-0143,Minor Fraud Ring Operating from Thane,Minor Fraud,Closed,"investigation into suspected minor fraud activity centered around Thane, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-03-03,2024-02-26,L0309,Low
C0144,CASE-2024-0144,Nashik Insurance Fraud Case,Insurance Fraud,Pending Review,"A demonstration investigation record covering a insurance fraud incident in Nashik, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-02-20,2024-02-20,L0140,Critical
C0145,CASE-2024-0145,Major Organized Crime Network Probe - Kochi,Major Organized Crime,Open,"A demonstration investigation record covering a major organized crime incident in Kochi, Kerala, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-01-04,2024-01-04,L0285,Critical
C0146,CASE-2024-0146,Simple Robbery Investigation - Bhopal Sector,Simple Robbery,Closed,"A demonstration investigation record covering a simple robbery incident in Bhopal, Madhya Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-07-18,2024-07-18,L0145,Medium
C0147,CASE-2024-0147,Large Financial Crime Network Investigation - Bhopal Sector,Large Financial Crime Network,Under Investigation,"record of a large financial crime network case based in Bhopal, Madhya Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-06-23,2024-06-22,L0556,Critical
C0148,CASE-2024-0148,Data Theft Ring Operating from Noida,Data Theft,Closed,"A demonstration investigation record covering a data theft incident in Noida, Uttar Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-04-03,2024-03-31,L0304,Medium
C0149,CASE-2024-0149,Kochi-based Individual Cyber Fraud Inquiry,Individual Cyber Fraud,Pending Review,"Case file documenting a individual cyber fraud investigation originating in Kochi, Kerala, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-12-30,2024-12-29,L0379,High
C0150,CASE-2024-0150,Large Financial Crime Network Investigation - Coimbatore Sector,Large Financial Crime Network,Closed,"investigation into suspected large financial crime network activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-09-01,2024-08-27,L0008,Critical
C0151,CASE-2024-0151,Logistics Fraud Network Probe - Nagpur,Logistics Fraud,Pending Review,"A demonstration investigation record covering a logistics fraud incident in Nagpur, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-08-05,2024-08-01,L0316,Medium
C0152,CASE-2024-0152,Data Theft Network Probe - Hyderabad,Data Theft,Under Investigation,"investigation into suspected data theft activity centered around Hyderabad, Telangana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-01-17,2024-01-12,L0244,Medium
C0153,CASE-2024-0153,Financial Crime Investigation Network Probe - Noida,Financial Crime Investigation,Open,"A demonstration investigation record covering a financial crime investigation incident in Noida, Uttar Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-07-20,2024-07-18,L0410,Medium
C0154,CASE-2024-0154,Assault Network Probe - Coimbatore,Assault,Under Investigation,"Case file documenting a assault investigation originating in Coimbatore, Tamil Nadu, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-01-31,2024-01-30,L0424,Medium
C0155,CASE-2024-0155,Online Fraud Case Linked to Thane Region,Online Fraud,Pending Review,"A demonstration investigation record covering a online fraud incident in Thane, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-05-10,2024-05-09,L0480,Critical
C0156,CASE-2024-0156,Simple Robbery Investigation - Pune Sector,Simple Robbery,Closed,"This case tracks a suspected simple robbery matter reported in Pune, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-06-20,2024-06-18,L0350,High
C0157,CASE-2024-0157,Data Theft Investigation - Surat Sector,Data Theft,Under Investigation,"A demonstration investigation record covering a data theft incident in Surat, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-12-29,2024-12-29,L0486,Low
C0158,CASE-2024-0158,Data Theft Investigation - Gurugram Sector,Data Theft,Pending Review,"A demonstration investigation record covering a data theft incident in Gurugram, Haryana, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-23,2024-06-19,L0337,Low
C0159,CASE-2024-0159,Pune Data Theft Case,Data Theft,Open,"A demonstration investigation record covering a data theft incident in Pune, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-10-09,2024-10-06,L0276,High
C0160,CASE-2024-0160,Individual Cyber Fraud Ring Operating from Hyderabad,Individual Cyber Fraud,Under Investigation,"investigation into suspected individual cyber fraud activity centered around Hyderabad, Telangana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-06-24,2024-06-22,L0596,Low
C0161,CASE-2024-0161,Vehicle Theft Network Case Linked to Nashik Region,Vehicle Theft Network,Open,"This case tracks a suspected vehicle theft network matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-04-04,2024-03-31,L0178,Critical
C0162,CASE-2024-0162,Insurance Fraud Ring Operating from Lucknow,Insurance Fraud,Closed,"investigation into suspected insurance fraud activity centered around Lucknow, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-06-23,2024-06-21,L0148,Medium
C0163,CASE-2024-0163,Vehicle Theft Investigation - Pune Sector,Vehicle Theft,Open,"record of a vehicle theft case based in Pune, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-04-19,2024-04-16,L0522,Low
C0164,CASE-2024-0164,Surat-based Simple Robbery Inquiry,Simple Robbery,Open,"A demonstration investigation record covering a simple robbery incident in Surat, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-04-24,2024-04-24,L0085,Medium
C0165,CASE-2024-0165,Organized Cybercrime Network Probe - Ahmedabad,Organized Cybercrime,Under Investigation,"record of a organized cybercrime case based in Ahmedabad, Gujarat, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-08-05,2024-08-03,L0382,Medium
C0166,CASE-2024-0166,Logistics Fraud Investigation - Nagpur Sector,Logistics Fraud,Under Investigation,"record of a logistics fraud case based in Nagpur, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-10-08,2024-10-07,L0316,Medium
C0167,CASE-2024-0167,Document Fraud Network Probe - Nagpur,Document Fraud,Closed,"This case tracks a suspected document fraud matter reported in Nagpur, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-08-04,2024-07-31,L0515,Medium
C0168,CASE-2024-0168,Individual Cyber Fraud Network Probe - Kochi,Individual Cyber Fraud,Open,"record of a individual cyber fraud case based in Kochi, Kerala, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-09-09,2024-09-08,L0364,Low
C0169,CASE-2024-0169,Theft Investigation - Thane Sector,Theft,Open,"investigation into suspected theft activity centered around Thane, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-02-02,2024-01-30,L0449,Low
C0170,CASE-2024-0170,Theft Ring Operating from Bengaluru,Theft,Closed,"This case tracks a suspected theft matter reported in Bengaluru, Karnataka. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-04-06,2024-04-02,L0572,Medium
C0171,CASE-2024-0171,Payment Fraud Ring Operating from Gurugram,Payment Fraud,Under Investigation,"Case file documenting a payment fraud investigation originating in Gurugram, Haryana, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-03-25,2024-03-22,L0074,Low
C0172,CASE-2024-0172,Ahmedabad Identity Fraud Case,Identity Fraud,Under Investigation,"record of a identity fraud case based in Ahmedabad, Gujarat, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-04-25,2024-04-22,L0323,High
C0173,CASE-2024-0173,Burglary Network Probe - Indore,Burglary,Closed,"Case file documenting a burglary investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-07-12,2024-07-07,L0470,High
C0174,CASE-2024-0174,Organized Fraud Ring Operating from Nashik,Organized Fraud,Closed,"This case tracks a suspected organized fraud matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-05-02,2024-05-02,L0275,High
C0175,CASE-2024-0175,Coimbatore-based Burglary Inquiry,Burglary,Open,"investigation into suspected burglary activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-08-13,2024-08-12,L0287,Medium
C0176,CASE-2024-0176,Investigation into Document Fraud Activities in Nashik,Document Fraud,Pending Review,"This case tracks a suspected document fraud matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2024-11-10,2024-11-06,L0255,Medium
C0177,CASE-2024-0177,Organized Cybercrime Ring Operating from Bengaluru,Organized Cybercrime,Open,"record of a organized cybercrime case based in Bengaluru, Karnataka, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2024-05-12,2024-05-09,L0381,High
C0178,CASE-2024-0178,Kochi-based Simple Robbery Inquiry,Simple Robbery,Under Investigation,"investigation into suspected simple robbery activity centered around Kochi, Kerala, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-12-21,2024-12-17,L0557,Medium
C0179,CASE-2024-0179,Unauthorized Access Investigation - Kochi Sector,Unauthorized Access,Pending Review,"Case file documenting a unauthorized access investigation originating in Kochi, Kerala, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-05-14,2024-05-14,L0131,Low
C0180,CASE-2024-0180,Individual Cyber Fraud Case Linked to Indore Region,Individual Cyber Fraud,Open,"Case file documenting a individual cyber fraud investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-03-17,2024-03-13,L0411,Medium
C0181,CASE-2024-0181,Major Organized Crime Ring Operating from Pune,Major Organized Crime,Under Investigation,"investigation into suspected major organized crime activity centered around Pune, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2024-04-04,2024-04-03,L0468,Critical
C0182,CASE-2024-0182,Minor Fraud Case Linked to Thane Region,Minor Fraud,Closed,"Case file documenting a minor fraud investigation originating in Thane, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2024-04-13,2024-04-09,L0194,Medium
C0183,CASE-2024-0183,Investigation into Vehicle Theft Network Activities in Surat,Vehicle Theft Network,Closed,"A demonstration investigation record covering a vehicle theft network incident in Surat, Gujarat, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-11-07,2024-11-03,L0142,Critical
C0184,CASE-2024-0184,Payment Fraud Investigation - Mumbai Sector,Payment Fraud,Under Investigation,"A demonstration investigation record covering a payment fraud incident in Mumbai, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2024-06-10,2024-06-07,L0538,High
C0185,CASE-2025-0001,Organized Fraud Ring Operating from Mumbai,Organized Fraud,Open,"investigation into suspected organized fraud activity centered around Mumbai, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-07-30,2025-07-28,L0218,Critical
C0186,CASE-2025-0002,Investigation into Assault Activities in Kochi,Assault,Closed,"Case file documenting a assault investigation originating in Kochi, Kerala, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-02-13,2025-02-08,L0295,Medium
C0187,CASE-2025-0003,Investigation into Burglary Activities in Hyderabad,Burglary,Under Investigation,"A demonstration investigation record covering a burglary incident in Hyderabad, Telangana, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-06-30,2025-06-27,L0322,Medium
C0188,CASE-2025-0004,Property Fraud Investigation - Ahmedabad Sector,Property Fraud,Open,"This case tracks a suspected property fraud matter reported in Ahmedabad, Gujarat. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-05-10,2025-05-09,L0565,Low
C0189,CASE-2025-0005,Investigation into Money Laundering Investigation Activities in Bhopal,Money Laundering Investigation,Under Investigation,"Case file documenting a money laundering investigation investigation originating in Bhopal, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-05-20,2025-05-20,L0583,Critical
C0190,CASE-2025-0006,Investigation into Unauthorized Access Activities in Coimbatore,Unauthorized Access,Under Investigation,"record of a unauthorized access case based in Coimbatore, Tamil Nadu, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-03-16,2025-03-12,L0388,Medium
C0191,CASE-2025-0007,Assault Case Linked to Jaipur Region,Assault,Pending Review,"Case file documenting a assault investigation originating in Jaipur, Rajasthan, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-08-21,2025-08-20,L0566,Medium
C0192,CASE-2025-0008,Organized Cybercrime Case Linked to Chennai Region,Organized Cybercrime,Pending Review,"A demonstration investigation record covering a organized cybercrime incident in Chennai, Tamil Nadu, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-05-31,2025-05-29,L0039,Critical
C0193,CASE-2025-0009,Investigation into Organized Fraud Activities in Kochi,Organized Fraud,Closed,"investigation into suspected organized fraud activity centered around Kochi, Kerala, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-05-15,2025-05-10,L0102,Medium
C0194,CASE-2025-0010,Unauthorized Access Case Linked to Noida Region,Unauthorized Access,Open,"investigation into suspected unauthorized access activity centered around Noida, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-10-17,2025-10-14,L0291,Medium
C0195,CASE-2025-0011,Identity Fraud Network Probe - Nashik,Identity Fraud,Closed,"record of a identity fraud case based in Nashik, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-07-11,2025-07-07,L0018,Medium
C0196,CASE-2025-0012,Major Organized Crime Ring Operating from Kolkata,Major Organized Crime,Closed,"A demonstration investigation record covering a major organized crime incident in Kolkata, West Bengal, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-06-12,2025-06-09,L0167,High
C0197,CASE-2025-0013,Investigation into Corporate Fraud Activities in Pune,Corporate Fraud,Closed,"record of a corporate fraud case based in Pune, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-11-13,2025-11-08,L0134,Low
C0198,CASE-2025-0014,Assault Investigation - Pune Sector,Assault,Open,"This case tracks a suspected assault matter reported in Pune, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-10-31,2025-10-26,L0307,Medium
C0199,CASE-2025-0015,Banking Fraud Network Probe - Delhi,Banking Fraud,Closed,"investigation into suspected banking fraud activity centered around Delhi, Delhi, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-09-17,2025-09-16,L0071,Medium
C0200,CASE-2025-0016,Bengaluru Payment Fraud Case,Payment Fraud,Pending Review,"A demonstration investigation record covering a payment fraud incident in Bengaluru, Karnataka, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-06-09,2025-06-04,L0572,Medium
C0201,CASE-2025-0017,Vehicle Theft Network Investigation - Lucknow Sector,Vehicle Theft Network,Open,"This case tracks a suspected vehicle theft network matter reported in Lucknow, Uttar Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-07-09,2025-07-05,L0166,High
C0202,CASE-2025-0018,Bhopal Procurement Fraud Case,Procurement Fraud,Pending Review,"This case tracks a suspected procurement fraud matter reported in Bhopal, Madhya Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-01-29,2025-01-28,L0391,High
C0203,CASE-2025-0019,Unauthorized Access Investigation - Jaipur Sector,Unauthorized Access,Closed,"investigation into suspected unauthorized access activity centered around Jaipur, Rajasthan, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-03-02,2025-02-25,L0239,High
C0204,CASE-2025-0020,Minor Fraud Ring Operating from Indore,Minor Fraud,Pending Review,"record of a minor fraud case based in Indore, Madhya Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-05-05,2025-05-03,L0257,High
C0205,CASE-2025-0021,Investigation into Theft Activities in Indore,Theft,Under Investigation,"investigation into suspected theft activity centered around Indore, Madhya Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-05-03,2025-05-01,L0393,High
C0206,CASE-2025-0022,Identity Fraud Case Linked to Indore Region,Identity Fraud,Open,"A demonstration investigation record covering a identity fraud incident in Indore, Madhya Pradesh, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-11-24,2025-11-20,L0453,Low
C0207,CASE-2025-0023,Identity Fraud Network Probe - Delhi,Identity Fraud,Closed,"record of a identity fraud case based in Delhi, Delhi, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-12-12,2025-12-10,L0297,High
C0208,CASE-2025-0024,Chennai Identity Fraud Case,Identity Fraud,Closed,"A demonstration investigation record covering a identity fraud incident in Chennai, Tamil Nadu, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-08-27,2025-08-26,L0529,Medium
C0209,CASE-2025-0025,Organized Fraud Investigation - Mumbai Sector,Organized Fraud,Pending Review,"Case file documenting a organized fraud investigation originating in Mumbai, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-03-11,2025-03-11,L0473,Low
C0210,CASE-2025-0026,Financial Fraud Investigation - Ahmedabad Sector,Financial Fraud,Open,"investigation into suspected financial fraud activity centered around Ahmedabad, Gujarat, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-09-16,2025-09-15,L0286,Low
C0211,CASE-2025-0027,Identity Fraud Ring Operating from Nagpur,Identity Fraud,Under Investigation,"record of a identity fraud case based in Nagpur, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-05-03,2025-05-03,L0171,Medium
C0212,CASE-2025-0028,Simple Robbery Investigation - Bengaluru Sector,Simple Robbery,Pending Review,"Case file documenting a simple robbery investigation originating in Bengaluru, Karnataka, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-09-19,2025-09-17,L0186,Medium
C0213,CASE-2025-0029,Simple Robbery Investigation - Surat Sector,Simple Robbery,Open,"Case file documenting a simple robbery investigation originating in Surat, Gujarat, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-09-22,2025-09-21,L0486,Medium
C0214,CASE-2025-0030,Investigation into Burglary Activities in Pune,Burglary,Under Investigation,"This case tracks a suspected burglary matter reported in Pune, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-09-24,2025-09-22,L0361,Medium
C0215,CASE-2025-0031,Investigation into Assault Activities in Bengaluru,Assault,Under Investigation,"This case tracks a suspected assault matter reported in Bengaluru, Karnataka. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-05-19,2025-05-19,L0487,Medium
C0216,CASE-2025-0032,Data Theft Investigation - Nagpur Sector,Data Theft,Closed,"investigation into suspected data theft activity centered around Nagpur, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-04-03,2025-03-29,L0326,Low
C0217,CASE-2025-0033,Delhi-based Unauthorized Access Inquiry,Unauthorized Access,Pending Review,"investigation into suspected unauthorized access activity centered around Delhi, Delhi, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-04-02,2025-04-02,L0035,Low
C0218,CASE-2025-0034,Payment Fraud Case Linked to Indore Region,Payment Fraud,Closed,"investigation into suspected payment fraud activity centered around Indore, Madhya Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-10-01,2025-09-30,L0472,Critical
C0219,CASE-2025-0035,Major Cybercrime Ring Operating from Lucknow,Major Cybercrime,Pending Review,"investigation into suspected major cybercrime activity centered around Lucknow, Uttar Pradesh, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-05-08,2025-05-05,L0294,Critical
C0220,CASE-2025-0036,Theft Network Probe - Indore,Theft,Closed,"Case file documenting a theft investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-05-09,2025-05-09,L0147,Low
C0221,CASE-2025-0037,Investigation into Data Theft Activities in Nashik,Data Theft,Closed,"A demonstration investigation record covering a data theft incident in Nashik, Maharashtra, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-01-14,2025-01-10,L0178,Low
C0222,CASE-2025-0038,Investigation into Money Laundering Investigation Activities in Gurugram,Money Laundering Investigation,Under Investigation,"investigation into suspected money laundering investigation activity centered around Gurugram, Haryana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-02-13,2025-02-10,L0405,Medium
C0223,CASE-2025-0039,Nashik Vehicle Theft Case,Vehicle Theft,Under Investigation,"investigation into suspected vehicle theft activity centered around Nashik, Maharashtra, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-03-30,2025-03-25,L0255,Medium
C0224,CASE-2025-0040,Vehicle Theft Ring Operating from Indore,Vehicle Theft,Closed,"Case file documenting a vehicle theft investigation originating in Indore, Madhya Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-03-10,2025-03-06,L0121,High
C0225,CASE-2025-0041,Surat Theft Case,Theft,Open,"record of a theft case based in Surat, Gujarat, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-03-01,2025-02-27,L0561,Medium
C0226,CASE-2025-0042,Data Theft Investigation - Gurugram Sector,Data Theft,Under Investigation,"This case tracks a suspected data theft matter reported in Gurugram, Haryana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-06-07,2025-06-02,L0527,High
C0227,CASE-2025-0043,Mumbai-based Money Laundering Investigation Inquiry,Money Laundering Investigation,Open,"This case tracks a suspected money laundering investigation matter reported in Mumbai, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-05-02,2025-04-28,L0066,High
C0228,CASE-2025-0044,Money Laundering Investigation Ring Operating from Pune,Money Laundering Investigation,Pending Review,"record of a money laundering investigation case based in Pune, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-11-11,2025-11-11,L0051,High
C0229,CASE-2025-0045,Nagpur Major Organized Crime Case,Major Organized Crime,Under Investigation,"Case file documenting a major organized crime investigation originating in Nagpur, Maharashtra, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-05-29,2025-05-25,L0230,Medium
C0230,CASE-2025-0046,Unauthorized Access Ring Operating from Indore,Unauthorized Access,Under Investigation,"This case tracks a suspected unauthorized access matter reported in Indore, Madhya Pradesh. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-11-29,2025-11-29,L0147,Low
C0231,CASE-2025-0047,Large Organized Crime Network Ring Operating from Bengaluru,Large Organized Crime Network,Open,"Case file documenting a large organized crime network investigation originating in Bengaluru, Karnataka, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-12-10,2025-12-10,L0130,High
C0232,CASE-2025-0048,Data Theft Case Linked to Jaipur Region,Data Theft,Pending Review,"investigation into suspected data theft activity centered around Jaipur, Rajasthan, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-07-22,2025-07-21,L0229,Medium
C0233,CASE-2025-0049,Insurance Fraud Investigation - Coimbatore Sector,Insurance Fraud,Open,"investigation into suspected insurance fraud activity centered around Coimbatore, Tamil Nadu, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-01-22,2025-01-21,L0004,Critical
C0234,CASE-2025-0050,Nashik Minor Fraud Case,Minor Fraud,Pending Review,"This case tracks a suspected minor fraud matter reported in Nashik, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-10-21,2025-10-18,L0272,Medium
C0235,CASE-2025-0051,Document Fraud Investigation - Kolkata Sector,Document Fraud,Under Investigation,"record of a document fraud case based in Kolkata, West Bengal, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-02-27,2025-02-26,L0062,Medium
C0236,CASE-2025-0052,Unauthorized Access Investigation - Lucknow Sector,Unauthorized Access,Closed,"record of a unauthorized access case based in Lucknow, Uttar Pradesh, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-04-06,2025-04-01,L0325,Low
C0237,CASE-2025-0053,Vehicle Theft Network Case Linked to Nagpur Region,Vehicle Theft Network,Closed,"record of a vehicle theft network case based in Nagpur, Maharashtra, developed to demonstrate cross-referenced trace-graph, CDR and financial analytics for the RAKSHAK platform.",2025-06-27,2025-06-27,L0200,Critical
C0238,CASE-2025-0054,Hyderabad Logistics Fraud Case,Logistics Fraud,Under Investigation,"Case file documenting a logistics fraud investigation originating in Hyderabad, Telangana, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-10-11,2025-10-11,L0347,Medium
C0239,CASE-2025-0055,Investigation into Murder Investigation Activities in Bengaluru,Murder Investigation,Closed,"A demonstration investigation record covering a murder investigation incident in Bengaluru, Karnataka, with linked persons, organizations and evidentiary material collected during the inquiry.",2025-02-14,2025-02-14,L0282,High
C0240,CASE-2025-0056,Kolkata Payment Fraud Case,Payment Fraud,Open,"This case tracks a suspected payment fraud matter reported in Kolkata, West Bengal. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-02-14,2025-02-14,L0491,High
C0241,CASE-2025-0057,Lucknow-based Financial Fraud Inquiry,Financial Fraud,Open,"Case file documenting a financial fraud investigation originating in Lucknow, Uttar Pradesh, including associated communications, financial trails and physical evidence gathered by the investigating team.",2025-06-12,2025-06-12,L0462,Critical
C0242,CASE-2025-0058,Cyber Extortion Investigation - Hyderabad Sector,Cyber Extortion,Open,"This case tracks a suspected cyber extortion matter reported in Hyderabad, Telangana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-12-01,2025-11-30,L0574,Medium
C0243,CASE-2025-0059,Investigation into Simple Robbery Activities in Hyderabad,Simple Robbery,Open,"investigation into suspected simple robbery activity centered around Hyderabad, Telangana, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-01-21,2025-01-20,L0322,High
C0244,CASE-2025-0060,Investigation into Large Financial Crime Network Activities in Hyderabad,Large Financial Crime Network,Pending Review,"This case tracks a suspected large financial crime network matter reported in Hyderabad, Telangana. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-04-12,2025-04-11,L0494,High
C0245,CASE-2025-0061,Property Fraud Case Linked to Delhi Region,Property Fraud,Under Investigation,"investigation into suspected property fraud activity centered around Delhi, Delhi, involving multiple persons of interest and associated entities identified through communication, financial and location analysis.",2025-07-29,2025-07-27,L0177,Low
C0246,CASE-2025-0062,Property Fraud Network Probe - Nagpur,Property Fraud,Pending Review,"This case tracks a suspected property fraud matter reported in Nagpur, Maharashtra. Investigators are examining phone records, financial transactions and location data connected to the individuals involved.",2025-04-25,2025-04-22,L0222,Medium
