organization_id,name,organization_type,address,city,state,registration_id,status,case_id
O0215,Crescent Trading Co,Finance,"808, Lake View Road, Delhi",Delhi,Delhi,REG1397664683,Active,C0378
O0216,Greenfield Infrastructure Pvt Ltd,Trading,"625, Shivaji Nagar, Nagpur",Nagpur,Maharashtra,REG4142714899,Active,C0379
O0217,Oakridge Industries Pvt Ltd,Technology,"55, Ring Road, Nashik",Nashik,Maharashtra,REG2929826601,Active,C0381
O0218,Sunrise Consultants LLP,Finance,"634, Market Road, Bhopal",Bhopal,Madhya Pradesh,REG1120771338,Active,C0382
O0219,Crescent Infrastructure Pvt Ltd,Services,"924, Airport Road, Thane",Thane,Maharashtra,REG5299383906,Active,C0384
O0220,Maple Services LLP,Technology,"921, Market Road, Coimbatore",Coimbatore,Tamil Nadu,REG0485376453,Active,C0385
O0221,Blue Horizon Services LLP,Construction,"997, MG Road, Lucknow",Lucknow,Uttar Pradesh,REG4010937617,Active,C0387
O0222,Northstar Solutions Pvt Ltd,Retail,"358, Airport Road, Coimbatore",Coimbatore,Tamil Nadu,REG5899184014,Active,C0389
O0223,Sunrise Infrastructure Pvt Ltd,Manufacturing,"182, Shivaji Nagar, Indore",Indore,Madhya Pradesh,REG2960837550,Active,C0392
O0224,Pioneer Consultants LLP,Manufacturing,"816, Market Road, Surat",Surat,Gujarat,REG7683906265,Active,C0393
O0225,Riverstone Solutions Pvt Ltd,Logistics,"25, Market Road, Indore",Indore,Madhya Pradesh,REG2154761159,Active,C0394
O0226,Maple Trading Co,Import/Export,"618, Park Street, Jaipur",Jaipur,Rajasthan,REG4883641547,Active,C0395
O0227,Maple Infrastructure Pvt Ltd,Logistics,"213, Lake View Road, Nagpur",Nagpur,Maharashtra,REG1158176686,Active,C0398
O0228,Greenfield Solutions Pvt Ltd,Retail,"280, Market Road, Surat",Surat,Gujarat,REG4502428212,Inactive,C0399
O0229,Greenfield Industries Pvt Ltd,Construction,"356, Nehru Nagar, Nashik",Nashik,Maharashtra,REG5601773952,Active,C0402
O0230,Northstar Industries Pvt Ltd,Consulting,"908, Ring Road, Jaipur",Jaipur,Rajasthan,REG5251430090,Active,C0404
O0231,Riverstone Infrastructure Pvt Ltd,Services,"4, Lake View Road, Nagpur",Nagpur,Maharashtra,REG0621106254,Active,C0406
O0232,Oakridge Solutions Pvt Ltd,Finance,"634, Nehru Nagar, Bengaluru",Bengaluru,Karnataka,REG6845005930,Inactive,C0410
O0233,Vertex Consultants LLP,Finance,"704, Market Road, Pune",Pune,Maharashtra,REG3780982432,Active,C0414
O0234,Blue Horizon Services LLP,Manufacturing,"583, Market Road, Hyderabad",Hyderabad,Telangana,REG7088314212,Active,C0417
O0235,Sunrise Industries Pvt Ltd,Import/Export,"48, Ring Road, Bhopal",Bhopal,Madhya Pradesh,REG1472719230,Active,C0420
O0236,Maple Infrastructure Pvt Ltd,Retail,"105, College Road, Delhi",Delhi,Delhi,REG8570562210,Active,C0422
O0237,Riverstone Solutions Pvt Ltd,Retail,"526, Airport Road, Nashik",Nashik,Maharashtra,REG9523238231,Active,C0423
O0238,Maple Industries Pvt Ltd,Transport,"457, Market Road, Pune",Pune,Maharashtra,REG8749927089,Active,C0426
O0239,Pioneer Industries Pvt Ltd,Consulting,"103, Station Road, Mumbai",Mumbai,Maharashtra,REG6283767303,Active,C0427
O0240,Northstar Logistics Pvt Ltd,Transport,"497, Station Road, Mumbai",Mumbai,Maharashtra,REG6754061787,Active,C0432
O0241,Silverline Services LLP,Construction,"278, Lake View Road, Gurugram",Gurugram,Haryana,REG6151803259,Active,C0436
O0242,Blue Horizon Logistics Pvt Ltd,Finance,"836, College Road, Delhi",Delhi,Delhi,REG0765434711,Active,C0437
O0243,Blue Horizon Trading Co,Technology,"87, MG Road, Noida",Noida,Uttar Pradesh,REG3041176620,Active,C0438
O0244,Cobalt Consultants LLP,Trading,"479, Nehru Nagar, Kochi",Kochi,Kerala,REG9795859263,Active,C0439
O0245,Blue Horizon Trading Co,Technology,"34, Shivaji Nagar, Chennai",Chennai,Tamil Nadu,REG6703807988,Active,C0442
O0246,Oakridge Infrastructure Pvt Ltd,Consulting,"526, Nehru Nagar, Ahmedabad",Ahmedabad,Gujarat,REG4517507879,Active,C0443
O0247,Northstar Solutions Pvt Ltd,Finance,"108, Park Street, Chennai",Chennai,Tamil Nadu,REG5363556036,Active,C0444
O0248,Greenfield Solutions Pvt Ltd,Services,"276, MG Road, Hyderabad",Hyderabad,Telangana,REG9508154176,Inactive,C0445
O0249,Greenfield Trading Co,Services,"692, Shivaji Nagar, Noida",Noida,Uttar Pradesh,REG4976698666,Active,C0446
O0250,Maple Consultants LLP,Manufacturing,"124, Lake View Road, Bhopal",Bhopal,Madhya Pradesh,REG2070865546,Active,C0450
O0251,Blue Horizon Trading Co,Logistics,"988, MG Road, Bengaluru",Bengaluru,Karnataka,REG3836413350,Active,C0452
O0252,Riverstone Industries Pvt Ltd,Services,"118, Park Street, Hyderabad",Hyderabad,Telangana,REG3896916188,Inactive,C0453
O0253,Northstar Industries Pvt Ltd,Technology,"415, Station Road, Indore",Indore,Madhya Pradesh,REG7061306556,Active,C0454
O0254,Northstar Consultants LLP,Technology,"832, Nehru Nagar, Thane",Thane,Maharashtra,REG0465362318,Active,C0457
O0255,Silverline Services LLP,Real Estate,"749, Park Street, Chennai",Chennai,Tamil Nadu,REG1168486566,Active,C0458
O0256,Blue Horizon Logistics Pvt Ltd,Manufacturing,"640, Market Road, Kolkata",Kolkata,West Bengal,REG0327037236,Active,C0459
O0257,Sunrise Services LLP,Consulting,"595, Market Road, Mumbai",Mumbai,Maharashtra,REG6220936746,Active,C0461
O0258,Oakridge Industries Pvt Ltd,Finance,"179, Market Road, Chennai",Chennai,Tamil Nadu,REG1270214987,Active,C0463
O0259,Greenfield Infrastructure Pvt Ltd,Transport,"268, Nehru Nagar, Ahmedabad",Ahmedabad,Gujarat,REG7255852020,Active,C0464
O0260,Blue Horizon Services LLP,Real Estate,"512, Park Street, Ahmedabad",Ahmedabad,Gujarat,REG0235242455,Active,C0467
O0261,Oakridge Services LLP,Manufacturing,"629, Nehru Nagar, Gurugram",Gurugram,Haryana,REG2539427506,Active,C0468
O0262,Crescent Trading Co,Consulting,"86, Airport Road, Kochi",Kochi,Kerala,REG8798491828,Active,C0469
O0263,Northstar Industries Pvt Ltd,Construction,"348, Market Road, Mumbai",Mumbai,Maharashtra,REG0632125179,Inactive,C0470
O0264,Vertex Industries Pvt Ltd,Manufacturing,"197, Nehru Nagar, Noida",Noida,Uttar Pradesh,REG1552575665,Active,C0473
O0265,Blue Horizon Solutions Pvt Ltd,Real Estate,"913, College Road, Mumbai",Mumbai,Maharashtra,REG7049417938,Active,C0474
O0266,Cobalt Solutions Pvt Ltd,Technology,"973, Lake View Road, Gurugram",Gurugram,Haryana,REG6840612905,Active,C0476
O0267,Pioneer Industries Pvt Ltd,Finance,"289, Shivaji Nagar, Kochi",Kochi,Kerala,REG6370237254,Active,C0480
O0268,Riverstone Trading Co,Import/Export,"452, College Road, Delhi",Delhi,Delhi,REG0484710803,Active,C0481
O0269,Pioneer Consultants LLP,Manufacturing,"939, Airport Road, Noida",Noida,Uttar Pradesh,REG3039047554,Active,C0484
O0270,Crescent Logistics Pvt Ltd,Transport,"283, Nehru Nagar, Pune",Pune,Maharashtra,REG9839047068,Active,C0485
O0271,Silverline Consultants LLP,Construction,"576, Nehru Nagar, Jaipur",Jaipur,Rajasthan,REG5040073653,Active,C0486
O0272,Sunrise Services LLP,Import/Export,"352, MG Road, Surat",Surat,Gujarat,REG9700163539,Active,C0488
O0273,Blue Horizon Infrastructure Pvt Ltd,Services,"511, Shivaji Nagar, Coimbatore",Coimbatore,Tamil Nadu,REG4759329958,Active,C0490
O0274,Crescent Industries Pvt Ltd,Retail,"48, Market Road, Gurugram",Gurugram,Haryana,REG6951375988,Active,C0491
O0275,Greenfield Services LLP,Logistics,"440, Lake View Road, Pune",Pune,Maharashtra,REG5316798093,Active,C0492
O0276,Northstar Consultants LLP,Retail,"484, Station Road, Bhopal",Bhopal,Madhya Pradesh,REG9598599017,Active,C0493
O0277,Northstar Infrastructure Pvt Ltd,Trading,"631, Park Street, Gurugram",Gurugram,Haryana,REG7488733658,Active,C0495
O0278,Pioneer Logistics Pvt Ltd,Services,"716, Shivaji Nagar, Mumbai",Mumbai,Maharashtra,REG0112100150,Active,C0496
O0279,Maple Logistics Pvt Ltd,Manufacturing,"178, Lake View Road, Nagpur",Nagpur,Maharashtra,REG2989938938,Active,C0498
O0280,Maple Industries Pvt Ltd,Finance,"258, Market Road, Nashik",Nashik,Maharashtra,REG2972210284,Active,C0499
O0281,Maple Industries Pvt Ltd,Logistics,"874, Ring Road, Nagpur",Nagpur,Maharashtra,REG3054844923,Inactive,C0500
O0282,Greenfield Services LLP,Logistics,"79, Market Road, Gurugram",Gurugram,Haryana,REG4745151541,Inactive,C0501
O0283,Crescent Consultants LLP,Logistics,"122, Airport Road, Bengaluru",Bengaluru,Karnataka,REG7381129740,Active,C0502
O0284,Pioneer Infrastructure Pvt Ltd,Trading,"654, Market Road, Pune",Pune,Maharashtra,REG0558846565,Active,C0503
O0285,Vertex Consultants LLP,Technology,"442, Lake View Road, Ahmedabad",Ahmedabad,Gujarat,REG7169308902,Active,C0505
O0286,Crescent Consultants LLP,Technology,"420, MG Road, Thane",Thane,Maharashtra,REG4415041746,Active,C0507
O0287,Greenfield Solutions Pvt Ltd,Trading,"791, MG Road, Indore",Indore,Madhya Pradesh,REG2490069524,Active,C0508
O0288,Cobalt Consultants LLP,Trading,"991, Park Street, Indore",Indore,Madhya Pradesh,REG3025979093,Active,C0510
O0289,Oakridge Consultants LLP,Manufacturing,"565, MG Road, Gurugram",Gurugram,Haryana,REG4886552553,Active,C0512
O0290,Maple Infrastructure Pvt Ltd,Real Estate,"831, Lake View Road, Thane",Thane,Maharashtra,REG2092692020,Inactive,C0513
O0291,Sunrise Consultants LLP,Finance,"454, Market Road, Lucknow",Lucknow,Uttar Pradesh,REG9097633912,Active,C0514
O0292,Northstar Logistics Pvt Ltd,Construction,"231, Park Street, Mumbai",Mumbai,Maharashtra,REG9497456305,Inactive,C0518
O0293,Greenfield Services LLP,Real Estate,"122, Market Road, Pune",Pune,Maharashtra,REG4000342027,Active,C0520
O0294,Oakridge Industries Pvt Ltd,Logistics,"776, MG Road, Mumbai",Mumbai,Maharashtra,REG8237838504,Inactive,C0522
O0295,Crescent Trading Co,Retail,"56, Station Road, Mumbai",Mumbai,Maharashtra,REG7285467845,Active,C0523
O0296,Greenfield Logistics Pvt Ltd,Services,"104, MG Road, Kochi",Kochi,Kerala,REG6706769269,Inactive,C0525
O0297,Blue Horizon Logistics Pvt Ltd,Services,"597, Station Road, Gurugram",Gurugram,Haryana,REG1966975282,Active,C0526
O0298,Greenfield Consultants LLP,Finance,"563, Ring Road, Kochi",Kochi,Kerala,REG9819079246,Active,C0527
O0299,Northstar Solutions Pvt Ltd,Real Estate,"858, Ring Road, Ahmedabad",Ahmedabad,Gujarat,REG1293005478,Active,C0528
O0300,Blue Horizon Trading Co,Trading,"665, Airport Road, Thane",Thane,Maharashtra,REG9299595086,Active,C0532
O0301,Cobalt Logistics Pvt Ltd,Transport,"648, Airport Road, Nagpur",Nagpur,Maharashtra,REG8945035198,Inactive,C0535
O0302,Blue Horizon Trading Co,Construction,"549, College Road, Nagpur",Nagpur,Maharashtra,REG4032930629,Active,C0541
O0303,Blue Horizon Trading Co,Retail,"126, College Road, Gurugram",Gurugram,Haryana,REG1326269651,Active,C0542
O0304,Blue Horizon Trading Co,Real Estate,"397, Lake View Road, Delhi",Delhi,Delhi,REG6839432845,Active,C0544
O0305,Pioneer Infrastructure Pvt Ltd,Consulting,"119, Park Street, Noida",Noida,Uttar Pradesh,REG5204829981,Inactive,C0547
O0306,Crescent Trading Co,Manufacturing,"468, Market Road, Coimbatore",Coimbatore,Tamil Nadu,REG1508661400,Active,C0549
O0307,Greenfield Trading Co,Real Estate,"35, Park Street, Indore",Indore,Madhya Pradesh,REG9204267137,Active,C0550
O0308,Cobalt Consultants LLP,Manufacturing,"317, Airport Road, Gurugram",Gurugram,Haryana,REG2648627486,Active,C0551
O0309,Riverstone Industries Pvt Ltd,Consulting,"837, Airport Road, Noida",Noida,Uttar Pradesh,REG4234673780,Active,C0552
